Company,Code,Last Price
QBE INSURANCE GROUP LIMITED,QBE,14.35
BETASHARES AUSTRALIAN RESOURCES SECTOR ETF,QRE,7.56
VANECK MSCI INTERNATIONAL QUALITY ETF,QUAL,39.29
QUBE HOLDINGS LIMITED,QUB,3.01
RACE ONCOLOGY LTD,RAC,2.00
RUSSELL INVESTMENTS HIGH DIVIDEND AUSTRALIAN SHARES ETF,RDV,28.00
READYTECH HOLDINGS LIMITED,RDY,3.06
REA GROUP LTD,REA,131.53
REGIS HEALTHCARE LIMITED,REG,1.59
REECE LIMITED,REH,16.18
RURAL FUNDS GROUP,RFF,2.03
REGION GROUP,RGN,2.38
RAMSAY HEALTH CARE LIMITED,RHC,64.51
RIDLEY CORPORATION LIMITED,RIC,2.24
RIO TINTO LIMITED,RIO,115.47
RESMED INC,RMD,31.85
GLOBAL X ROBO GLOBAL ROBOTICS & AUTOMATION ETF,ROBO,68.87
REGAL PARTNERS LIMITED,RPL,3.03
REGIS RESOURCES LIMITED,RRL,1.79
RPMGLOBAL HOLDINGS LIMITED,RUL,1.38
RELIANCE WORLDWIDE CORPORATION LIMITED,RWC,3.45
SOUTH32 LIMITED,S32,4.14
SCENTRE GROUP,SCG,2.78
STEADFAST GROUP LIMITED,SDF,5.66
SUNLAND GROUP LIMITED,SDG,1.36
SITEMINDER LIMITED,SDR,3.06
SEEK LIMITED,SEK,23.11
GLOBAL X SEMICONDUCTOR ETF,SEMI,9.88
SCHAFFER CORPORATION LIMITED,SFC,18.20
SANDFIRE RESOURCES LIMITED,SFR,5.70
SG FLEET GROUP LIMITED,SGF,2.11
RICEGROWERS LIMITED,SGLLV,6.33
SIMS LIMITED,SGM,14.89
STOCKLAND,SGP,3.83
THE STAR ENTERTAINMENT GROUP LIMITED,SGR,1.47
SONIC HEALTHCARE LIMITED,SHL,34.12
SELECT HARVESTS LIMITED,SHV,4.05
SMARTGROUP CORPORATION LTD,SIQ,6.20
SKYCITY ENTERTAINMENT GROUP LIMITED,SKC,2.19
SILEX SYSTEMS LIMITED,SLX,3.73
STANMORE RESOURCES LIMITED,SMR,3.38
GLOBAL X ULTRA SHORT NASDAQ 100 HEDGE FUND,SNAS,3.78
SUPPLY NETWORK LIMITED,SNL,12.70
WASHINGTON H SOUL PATTINSON & COMPANY LIMITED,SOL,28.27
SPARK NEW ZEALAND LIMITED,SPK,4.54
BLOCK INC.,SQ2,116.06
SERVCORP LIMITED,SRV,3.18
SSR MINING INC.,SSR,20.85
STEAMSHIPS TRADING COMPANY LIMITED,SST,9.07
SANTOS LIMITED,STO,6.95
SPDR S&P/ASX 200 FUND,STW,64.22
SUPER RETAIL GROUP LIMITED,SUL,12.21
SUNCORP GROUP LIMITED,SUN,12.18
SOLVAR LIMITED,SVR,1.68
SEVEN GROUP HOLDINGS LIMITED,SVW,23.19
SYMBIO HOLDINGS LIMITED,SYM,1.73
SYRAH RESOURCES LIMITED,SYR,1.60
TRANSURBAN GROUP,TCL,14.11
THE LOTTERY CORPORATION LIMITED,TLC,5.13
TELSTRA GROUP LIMITED,TLS,4.16
TELIX PHARMACEUTICALS LIMITED,TLX,7.14
TECHNOLOGY ONE LIMITED,TNE,14.10
TPG TELECOM LIMITED.,TPG,4.92
TEMPLE & WEBSTER GROUP LTD,TPW,3.36
TRAJAN GROUP HOLDINGS LIMITED,TRJ,1.86
TREASURY WINE ESTATES LIMITED,TWE,12.93
UNITED MALT GROUP LIMITED,UMG,3.22
UNIVERSAL STORE HOLDINGS LIMITED,UNI,5.03
UNIBAIL-RODAMCO-WESTFIELD,URW,4.30
VANGUARD AUSTRALIAN PROPERTY SECURITIES INDEX ETF,VAP,75.31
VANGUARD AUSTRALIAN SHARES INDEX ETF,VAS,87.79
VICINITY CENTRES,VCX,1.99
VANGUARD DIVERSIFIED HIGH GROWTH INDEX ETF,VDHG,55.26
VIVA ENERGY GROUP LIMITED,VEA,2.92
VANGUARD MSCI INDEX INTERNATIONAL SHARES ETF,VGS,97.39
VANGUARD AUSTRALIAN SHARES HIGH YIELD ETF,VHY,66.33
VANECK MSCI INTERNATIONAL VALUE ETF,VLUE,22.35
VENTIA SERVICES GROUP LIMITED,VNT,2.46
VULCAN STEEL LIMITED,VSL,7.63
VANGUARD MSCI AUSTRALIAN SMALL COMPANIES INDEX ETF,VSO,59.27
VIRGIN MONEY UK PLC,VUK,2.69
VULCAN ENERGY RESOURCES LIMITED,VUL,5.78
VANGUARD GLOBAL VALUE EQUITY ACTIVE ETF (MANAGED FUND),VVLU,59.90
WAM CAPITAL LIMITED,WAM,1.61
WESTPAC BANKING CORPORATION,WBC,21.76
WEEBIT NANO LTD,WBT,7.01
WOODSIDE ENERGY GROUP LTD,WDS,32.55
WEBJET LIMITED,WEB,6.79
WESFARMERS LIMITED,WES,49.25
WHITEHAVEN COAL LIMITED,WHC,6.76
GLOBAL X COPPER MINERS ETF,WIRE,11.07
WORLEY LIMITED,WOR,13.86
WOOLWORTHS GROUP LIMITED,WOW,37.03
WAYPOINT REIT,WPR,2.49
WISETECH GLOBAL LIMITED,WTC,63.40
SPDR S&P WORLD EX AUSTRALIA CARBON CONTROL FUND,WXOZ,35.16
XERO LIMITED,XRO,88.90
YANCOAL AUSTRALIA LIMITED,YAL,5.64
ZIMPLATS HOLDINGS LIMITED,ZIM,25.57
